RETAILER,BRAND,Product,Product_category,OFFER
caseys general store,caseys general store,tobacco products,mature,Order from Casey's app or Caseys.com
caseys general store,caseys general store,tobacco products,mature,Spend $25 at Casey's
caseys general store,caseys general store,tobacco products,mature,Spend $5 in-store at Casey's
caseys general store,caseys general store,tobacco products,mature,Select beverages AND prepared food items at Casey's
caseys general store,caseys general store,tobacco products,mature,Visit OR order online from Casey's 7 times
caseys general store,caseys general store,tobacco products,mature,Spend $5 on single-serve prepared food items at Casey's
caseys general store,caseys general store,tobacco products,mature,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's
caseys general store,caseys general store,tobacco products,mature,Whole Pizza at Casey's
caseys general store,caseys general store,tobacco products,mature,Wings OR Cheesy Breadsticks at Casey's
caseys general store,caseys general store,tobacco products,mature,Whole Pizza Pie at Casey's
caseys general store,caseys general store,tobacco products,mature,Frozen OR Fountain Drink at Casey's
caseys general store,caseys general store,tobacco products,mature,Spend $10 in-store at Casey's
caseys general store,caseys general store,tobacco products,mature,"Fresh bakery item, select varieties, at Casey's"
caseys general store,caseys general store,tobacco products,mature,Whole pizza at Casey's
caseys general store,caseys general store,tobacco products,mature,12 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,tobacco products,mature,Frozen OR Fountain Drink at Casey's 
caseys general store,caseys general store,tobacco products,mature,Visit OR order online from Casey's 3 times
caseys general store,caseys general store,tobacco products,mature,Visit OR order online from Casey's 5 times
caseys general store,caseys general store,tobacco products,mature,12 pack OR 2 liter AND Whole Pizza at Casey's
caseys general store,caseys general store,tobacco products,mature,Whole Pizza at Casey's 
caseys general store,caseys general store,tobacco products,mature,"Fresh Bakery Products at Casey's, select varieties"
caseys general store,caseys general store,tobacco products,mature,Spend $10 on Casey's branded packaged products
caseys general store,caseys general store,tobacco products,mature,2 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,tobacco products,mature,Select Beverages AND Prepared Food Item at Casey's
caseys general store,caseys general store,tobacco products,mature,"Fresh Bakery items, select varieties, at Casey's"
caseys general store,caseys general store,tobacco products,mature,Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item
caseys general store,caseys general store,mature,mature,Order from Casey's app or Caseys.com
caseys general store,caseys general store,mature,mature,Spend $25 at Casey's
caseys general store,caseys general store,mature,mature,Spend $5 in-store at Casey's
caseys general store,caseys general store,mature,mature,Select beverages AND prepared food items at Casey's
caseys general store,caseys general store,mature,mature,Visit OR order online from Casey's 7 times
caseys general store,caseys general store,mature,mature,Spend $5 on single-serve prepared food items at Casey's
caseys general store,caseys general store,mature,mature,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's
caseys general store,caseys general store,mature,mature,Whole Pizza at Casey's
caseys general store,caseys general store,mature,mature,Wings OR Cheesy Breadsticks at Casey's
caseys general store,caseys general store,mature,mature,Whole Pizza Pie at Casey's
caseys general store,caseys general store,mature,mature,Frozen OR Fountain Drink at Casey's
caseys general store,caseys general store,mature,mature,Spend $10 in-store at Casey's
